date,town,location,origin,species,sex,age,band,background,treat,lead1,emoq1,mass1,tarsus,wc,lead2,emoq2,mass2,genetic,cage ,water,mas3,runs_n,runs_sec,runs day,alad sample,cell,blood sample volume for oroboros,emoq3,band,leadcare3,leadcare4,chamber,Routine,leak,oxphos,ETS,FCR,OxCe,Oroboros comments,TE,TOF,ALAD,TotalMovement,Frames,CSAL,band,CSAbad,CSA,Bone_Lead,CSA_liv,LN(lead2),formula,lead2c,LN(lead1),formula1,lead1c
23/05/23,Broken Hill,Thad,15.1,HOSP,F,ad,81587,contamlow,trt,1.9,196,22.28,19.2,72.21,14.8,205,21.25,ok,37a,32.898,21.696,8,84,2,v,7.22,50,205,81587,16.3,5.2,a,15.63690074,3.65777,11.97913074,73.40573794,0.213020142,0.766080884,,0.064746594,0.152102642,0.07,129952,44998,,81587,25.75507429,6.758018453,118,16.73575564,2.694627181,3.482648016,32.54578986,0.641853886,1.819901648,6.171251464
23/05/23,Broken Hill,Thad,15.1,HOSP,F,ad,81636,contamlow,trt,2.4,174,22.16,19.91,72.51,40.2,183,21.69,ok,39a,31.39,22.552,26,279,2,v,4.86,50,178,81636,18.2,9.4,a,15.12132744,3.18463784,11.9366896,53.2460467,0.283989674,0.789394294,,0.101345932,0.262737362,0.077,4249760,44998,12.59,81636,,,254,12.59,3.693866996,4.292032266,73.11490659,0.875468737,2.009129677,7.456824678
23/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,81854,contamlow,trt,1.9,176,25.46,19.58,72.15,8,177,24.749,ok,26a,38.18,25.406,15,139,1,v,5.52,50,178,81854,9.9,3.7,b,16.35295336,5.10813968,11.24481368,58.68376896,0.278662289,0.687631979,,0.091031409,0.195161298,0.061,5428672,44998,16.74,81854,,7.159199745,54,13.81,2.079441542,2.984347649,19.7735987,0.641853886,1.819901648,6.171251464
23/05/23,Broken Hill,Thad,15.1,HOSP,F,ad,90192,contamlow,ctr,1.9,185,24.13,19.73,72.29,1.9,184,22.567,ok,40a,35,23.603,11,113,2,v,6.04,50,187,90192,1.9,,a,14.9201519,3.17100024,11.74915166,68.0302792,0.219316341,0.787468636,,0.052729508,0.207548406,,4707182,44998,18.68,90192,,7.505054805,65,18.68,0.641853886,1.819901648,6.171251464,0.641853886,1.819901648,6.171251464
23/05/23,Broken Hill,Thad,15.1,HOSP,F,ad,90829,contamlow,ctr,1.9,165,22.86,18.81,71.11,4.5,178,22.79,ok,4a,35,23.502,15,126,1,v,3.75,50,165,90829,,,b,19.19883984,4.689848,14.50899184,72.86274944,0.263493211,0.755722323,,0.069003625,0.235601516,,2489804,44998,,90829,26.33776828,7.930722571,41,,1.504077397,2.518302691,12.40751939,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91604,contamlow,trt,1.9,196,23.18,19.94,71.92,12.3,190,22.109,ok,46a,28.02,22.336,29,245,2,v,4.18,50,185,91604,15.5,5.7,a,13.30662868,3.28370778,10.0229209,55.9621605,0.237779038,0.753227669,,0.099892659,0.268995536,0.053,1310411,44998,19.26,91604,,5.562945621,148,19.26348383,2.509599262,3.332775403,28.01598955,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91605,contamlow,ctr,1.9,191,24.06,20.2,71.27,1.9,194,27.817,ok,11a,35,25.661,12,96,1,v,4.6,30,189,91605,,,a,15.8675472,4.1512782,11.716269,63.01685108,0.251798478,0.738379338,"Carefull, adjust for lower blood volume",0.117400688,0.302111568,0.018,4382125,44998,,91605,,5.521439345,,,0.641853886,1.819901648,6.171251464,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91606,contamlow,trt,9.7,187,22.39,19.75,71.44,9.3,184,22.161,ok,42a,,21.198,21,189,2,v,5.71,50,187,91606,14.4,5.4,a,19.78836516,8.75678332,11.03158184,58.41292618,0.338766887,0.557478182,,0.096439893,0.225443381,0.075,5936507,44998,,91606,,9.154517399,313,,2.2300144,3.106311664,22.33850038,2.272125886,3.140421967,23.11361799
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91607,contamlow,ctr,1.9,167,22.42,19.03,72.94,1.9,187,23.872,ok,15a,35,23.742,9,86,1,v,4.6,50,175,91607,,,b,24.05607624,3.71847256,20.33760368,79.03743416,0.304363072,0.84542481,,0.047003606,0.110071306,0.016,2484599,44998,,91607,25.41516947,5.144365438,,,0.641853886,1.819901648,6.171251464,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91608,contamlow,trt,1.9,179,23.08,19.68,69.94,6.6,185,24.022,ok,44a,49.13,23.886,7,84,2,v,5.4,50,196,91608,11.2,4.4,a,14.49348772,3.65000142,10.8434863,58.5454391,0.247559638,0.748162658,,0.091648515,0.222869528,0.114,6384748,44998,15.9,91608,29.73681655,8.56922422,70,15.90385375,1.887069649,2.828526416,16.92050865,0.641853886,1.819901648,6.171251464
